annual_rainfall,seasonal_rainfall,cloud_visibility,humidity,temperature,river_level,flood_occurred
1742.04,898.01,2.97,91.3,25.27,10.3,1
1960.75,1041.19,3.24,83.51,27.71,7.14,1
827.09,240.6,5.59,59.68,30.33,5.53,0
1323.26,324.73,5.4,68.74,26.96,2.17,0
873.88,325.41,8.53,75.98,22.15,4.39,0
2480.12,1557.26,1.85,89.4,29.98,6.48,1
,446.06,12.18,,30.48,2.21,0
1020.65,489.96,,85.0,34.13,1.98,0
1345.63,447.12,10.04,83.92,29.19,4.97,0
1197.31,594.42,7.77,60.73,32.16,1.49,0
1329.82,565.55,6.28,48.67,38.71,1.94,0
1600.97,736.77,9.11,44.76,34.7,3.16,0
,1502.5,2.03,82.49,26.07,7.24,1
1265.98,521.72,5.62,69.99,35.14,4.13,0
1523.67,741.91,9.94,47.98,25.57,5.56,0
2367.78,1625.21,1.03,92.55,31.54,7.96,1
1047.69,477.83,7.2,51.72,33.73,2.55,0
2475.66,1276.19,0.2,78.65,27.49,9.21,1
1448.56,349.22,7.63,56.6,34.09,4.22,0
2631.92,2065.31,1.84,85.29,25.63,8.75,1
2474.8,1678.57,1.04,75.9,28.8,6.95,1
1283.5,309.97,3.06,59.21,27.44,4.68,0
1712.13,1005.45,,91.12,22.17,8.77,1
1197.84,351.17,8.12,56.67,27.11,5.26,0
2203.81,1494.97,2.87,86.45,18.76,7.91,1
2194.57,1323.79,0.2,74.86,24.6,9.55,1
2961.76,2321.89,1.9,96.36,22.82,10.38,1
819.37,326.85,8.13,68.01,25.99,0.99,0
2553.33,1834.27,2.85,87.43,23.46,11.51,1
1380.66,880.82,1.52,86.14,28.98,10.78,1
1712.28,1388.91,3.0,77.37,30.51,9.82,1
2339.32,1492.16,2.52,80.58,31.56,4.57,1
1196.92,493.82,12.78,68.99,28.86,3.58,0
2543.34,1613.17,2.73,80.87,27.78,12.79,1
1983.88,1033.37,3.22,98.54,26.67,6.72,1
2284.41,1375.55,1.57,65.29,24.84,4.55,1
778.68,344.42,,48.72,37.03,2.57,0
2348.77,1528.98,1.12,84.63,25.38,7.96,1
2129.73,1382.83,3.72,74.82,25.44,8.12,1
2257.82,1351.47,1.76,85.86,30.24,12.38,1
1664.35,799.0,9.7,45.07,36.35,3.33,0
1037.29,510.47,4.26,36.06,30.82,1.72,0
633.87,251.54,5.05,49.07,33.49,3.84,0
2428.47,1943.85,,82.09,26.33,10.38,1
2586.36,1751.44,3.02,84.34,19.01,12.53,1
1175.06,317.25,6.79,69.89,37.73,3.16,0
873.97,363.77,8.91,62.38,31.1,3.68,0
3016.68,1537.69,5.59,84.55,34.55,9.41,1
892.43,396.84,11.03,45.61,32.21,2.94,0
2540.5,1401.15,1.88,74.93,27.19,10.23,1
1203.95,427.98,9.5,61.37,29.19,3.96,0
2401.31,1669.69,1.94,87.98,29.1,9.74,1
2377.05,1304.42,1.35,87.18,26.06,11.36,1
1554.92,515.57,13.48,67.55,26.92,5.63,0
1685.8,1085.35,2.92,90.42,27.82,6.19,1
2546.94,1970.83,3.32,80.53,31.37,7.41,1
958.99,246.55,6.6,63.05,20.8,5.09,0
2051.4,1059.77,2.2,83.86,28.78,11.85,1
2056.04,1246.9,3.42,89.02,24.28,10.43,1
2286.64,1517.23,5.21,94.19,28.22,9.03,1
2316.76,1638.7,2.3,77.55,23.45,10.62,1
1626.6,726.73,9.48,60.93,31.16,4.35,0
592.26,209.08,10.16,57.75,32.26,2.8,0
2038.1,1386.5,1.14,95.13,25.7,10.04,1
2361.44,1675.58,3.04,95.69,28.29,15.0,1
,774.19,8.42,43.59,31.88,1.81,0
2325.44,1796.9,2.85,84.09,19.3,6.47,1
1270.69,550.74,10.28,60.47,28.17,5.99,0
1821.02,788.05,9.73,65.59,28.82,2.79,0
1336.72,392.24,5.9,60.54,26.73,3.4,0
1101.93,425.6,12.55,40.43,28.83,2.87,0
1051.61,382.73,7.18,42.28,28.79,0.81,0
1177.92,351.6,4.5,45.83,25.44,3.94,0
685.97,214.56,7.4,43.0,30.17,4.17,0
2384.67,1579.69,0.33,100.0,23.77,11.31,1
839.1,207.9,7.19,47.35,32.87,3.23,0
2540.51,1433.83,1.73,94.02,19.37,8.0,1
2524.87,1751.25,0.2,87.85,16.99,5.88,1
,1311.56,2.34,93.5,27.82,9.21,1
654.53,308.8,7.27,44.02,33.92,1.43,0
1252.62,436.67,7.38,69.83,35.74,3.86,0
1929.2,1057.65,4.37,79.67,23.81,11.99,1
1020.6,462.4,11.06,49.11,31.38,3.25,0
1104.28,282.15,7.68,73.45,25.55,3.82,0
1447.58,323.05,10.8,53.79,31.45,3.25,0
1044.3,304.41,9.64,57.58,28.15,5.8,0
1222.95,441.68,12.01,60.8,25.04,0.9,0
901.13,306.83,4.7,50.71,31.34,5.54,0
2233.58,1196.63,0.78,95.55,27.15,11.51,1
1261.0,530.82,9.03,54.08,33.1,3.76,0
2286.79,1407.14,1.24,85.73,21.67,10.76,1
1325.17,493.79,9.98,74.07,25.82,3.48,0
1779.84,896.16,0.2,89.31,29.63,6.73,1
761.28,289.04,6.96,38.7,31.26,3.19,0
858.24,307.61,6.39,64.7,19.92,0.5,0
1554.03,404.03,8.47,58.6,31.53,2.26,0
1163.96,371.86,5.86,64.53,22.28,3.4,0
1868.03,531.83,10.93,65.42,29.32,3.79,0
1098.04,372.17,9.81,,31.67,3.1,0
2128.01,1553.6,1.06,80.87,26.06,5.83,1
1416.82,614.04,6.86,71.48,36.86,3.25,0
1893.3,749.83,6.21,72.12,24.59,1.12,0
2596.35,1477.34,2.72,83.94,25.88,9.49,1
814.42,398.46,6.59,49.15,26.75,4.12,0
582.26,189.62,10.36,47.76,36.42,5.3,0
1996.58,1198.92,1.48,77.56,26.05,6.04,1
1190.46,377.17,10.75,40.48,23.87,4.18,0
1303.81,488.25,2.83,61.56,28.53,3.3,0
1648.23,914.02,3.0,91.91,34.42,10.31,1
1254.51,514.74,7.99,48.63,34.97,2.91,0
857.45,408.66,8.8,47.77,34.81,3.41,0
2349.55,1812.19,3.67,85.62,31.32,6.49,1
1809.16,676.33,5.94,54.94,38.17,3.48,0
1965.85,1484.43,3.49,83.96,23.05,8.85,1
2062.25,1216.22,5.26,92.95,24.87,7.95,1
1681.68,788.57,9.72,39.29,32.09,1.98,0
1409.09,320.0,7.32,55.74,29.02,5.59,0
2373.81,1896.4,1.05,86.13,30.17,7.3,1
1082.71,340.91,2.93,52.34,29.33,2.85,0
1150.81,406.16,6.52,46.78,31.1,0.69,0
925.17,263.9,4.11,41.75,29.87,1.52,0
911.98,204.96,5.94,69.54,29.93,3.2,0
2288.28,1251.46,2.6,100.0,27.59,6.94,1
1826.18,1319.13,2.19,81.39,26.26,9.81,1
2359.7,1413.48,5.85,86.95,31.95,5.09,1
2685.77,1705.27,1.09,93.01,32.13,6.28,1
1019.04,272.66,5.97,63.99,30.09,4.02,0
1249.96,452.95,7.79,50.81,27.83,4.15,0
851.45,384.11,14.01,58.0,27.63,1.58,0
1775.75,1418.55,0.2,74.84,22.54,11.88,1
2686.11,1663.23,2.28,95.94,22.72,9.37,1
1213.13,601.67,6.87,59.29,27.06,3.44,0
918.24,397.98,11.98,53.04,38.91,3.63,0
1654.01,368.85,10.52,36.22,28.67,2.26,0
952.65,455.0,3.96,51.01,18.04,3.75,0
848.82,390.89,9.6,56.94,38.55,3.12,0
1336.13,512.15,6.47,44.28,31.68,4.94,0
2544.09,1508.94,1.84,89.34,20.72,8.28,1
2581.16,1907.5,1.64,88.06,28.69,11.88,1
896.69,430.62,2.5,71.61,28.0,2.08,0
1090.17,446.02,10.68,52.33,24.36,3.32,0
2632.95,1448.48,1.65,100.0,22.94,12.84,1
936.69,328.47,4.67,50.34,33.03,3.33,0
1891.41,1460.89,1.01,83.77,31.73,9.32,1
1447.43,438.33,8.17,64.64,27.14,3.56,0
1760.01,1136.97,2.08,96.61,31.95,9.9,1
1976.36,1559.72,2.5,95.9,29.54,11.73,1
1078.52,260.67,11.64,44.0,31.48,4.57,0
1876.7,1392.74,0.2,77.45,30.65,5.32,1
919.34,205.91,5.85,71.8,33.24,4.74,0
1356.92,318.01,4.37,60.36,32.54,1.46,0
601.25,272.76,9.66,47.35,33.13,4.0,0
1748.79,930.61,2.49,75.42,26.6,8.7,1
1526.71,667.54,9.21,36.35,28.85,1.23,0
1198.36,457.31,9.0,46.49,27.44,3.46,0
1749.5,682.83,8.81,60.16,36.34,3.03,0
2773.97,1725.28,2.54,88.46,25.24,6.9,1
1189.79,382.82,7.55,72.98,27.86,2.47,0
2381.13,1506.43,4.17,88.35,36.77,9.15,1
1009.05,251.46,7.84,61.97,26.6,6.42,0
2579.46,1964.83,1.41,77.87,26.6,10.57,1
1457.19,679.57,8.08,70.9,23.33,2.35,0
850.87,199.65,9.9,66.75,30.85,1.24,0
1298.86,468.3,5.84,68.69,25.2,1.87,0
1164.19,400.21,8.09,62.37,29.99,5.22,0
810.87,204.8,8.96,79.82,27.61,1.42,0
959.16,396.86,5.26,61.24,31.19,5.3,0
2039.29,1597.74,0.2,86.94,20.03,10.92,1
2162.56,1685.91,4.0,77.45,33.95,12.37,1
768.54,220.59,11.71,72.36,30.17,3.47,0
2234.34,1770.41,2.47,88.75,27.05,11.68,1
503.73,213.99,6.65,40.95,32.14,4.78,0
1273.12,574.51,9.26,46.56,31.27,2.73,0
1095.66,289.14,10.42,48.01,27.89,4.19,0
488.56,129.83,5.58,53.24,27.54,6.37,0
2341.32,1354.84,1.97,90.16,33.67,10.81,1
1564.71,467.47,8.3,75.34,31.18,4.41,0
628.85,165.31,5.96,67.7,30.84,3.19,0
1385.09,346.11,8.26,30.67,30.55,4.85,0
,1434.3,3.05,86.12,35.61,9.45,1
2598.34,2057.33,1.28,87.22,30.08,7.72,1
970.23,263.67,8.4,63.11,31.55,0.5,0
1534.55,411.0,9.54,39.09,20.66,2.11,0
1354.73,584.93,,56.85,27.25,2.79,0
1972.61,1137.82,0.2,95.86,21.8,9.22,1
2458.08,1548.18,1.01,100.0,23.56,8.08,1
2676.83,1422.47,2.37,84.26,27.9,10.12,1
1756.94,584.63,8.05,59.7,29.46,3.83,0
1649.44,449.07,7.17,61.82,38.64,2.14,0
1086.96,430.32,6.41,56.95,27.34,4.78,0
2261.9,1233.43,1.89,81.07,18.95,8.92,1
881.6,432.59,7.14,54.95,37.99,3.4,0
726.84,268.86,8.4,63.27,33.8,3.59,0
2597.31,1811.48,1.43,99.61,22.62,8.79,1
1346.1,507.26,8.7,70.69,20.1,0.5,0
2193.92,1530.43,1.16,87.28,32.07,11.29,1
2949.13,1605.7,1.43,90.64,30.69,8.47,1
1277.2,412.99,14.59,52.34,41.84,3.83,0
948.75,460.9,10.41,53.69,35.82,4.64,0
698.42,315.35,9.65,47.22,30.72,1.25,0
2666.51,1441.83,0.95,100.0,22.99,9.42,1
1239.91,342.53,6.9,68.6,36.05,5.9,0
1366.07,624.43,5.99,52.53,37.19,2.4,0
628.93,175.29,,68.35,34.95,4.88,0
1390.46,608.76,5.46,,37.58,3.97,0
2435.88,1815.37,4.28,90.11,27.46,11.15,1
978.91,446.04,9.0,66.38,23.85,3.93,0
1105.65,423.56,10.48,57.77,21.07,2.72,0
2243.21,1233.77,5.82,79.99,28.45,11.23,1
1304.59,339.35,5.62,43.39,25.05,2.3,0
2992.98,1842.03,4.4,95.6,30.87,8.25,1
999.57,278.95,7.99,64.44,37.71,4.05,0
1703.06,793.96,2.5,56.28,29.64,2.68,0
2169.2,1505.24,2.08,75.36,32.72,10.73,1
2306.09,1839.34,0.2,92.17,27.39,5.76,1
3034.74,2200.29,1.8,85.52,21.5,12.38,1
1293.56,551.68,9.02,64.48,36.39,2.95,0
1356.36,452.48,10.44,75.0,29.33,3.4,0
1094.11,490.61,7.24,53.88,29.56,0.5,0
1199.26,326.22,9.92,52.15,30.38,2.19,0
2116.52,1206.26,2.19,96.4,23.3,9.33,1
,1180.4,2.33,83.09,23.18,13.45,1
1322.25,655.41,,82.71,31.75,4.65,0
2860.39,2332.4,2.5,81.17,24.47,4.19,1
1041.06,230.74,12.58,73.11,24.9,2.8,0
1901.29,1434.86,4.22,80.94,28.78,6.57,1
2054.05,1278.84,2.75,,27.38,7.69,1
2962.01,2266.57,2.99,83.63,32.57,8.73,1
1984.61,1328.49,2.72,94.06,24.74,9.51,1
1117.77,289.72,10.41,66.66,31.06,2.93,0
1120.26,312.03,11.38,79.19,34.25,2.1,0
2496.6,1781.53,3.77,87.71,26.37,6.86,1
935.52,289.8,6.73,64.59,33.58,6.43,0
771.12,343.48,11.88,26.92,26.1,4.5,0
938.26,433.66,5.55,65.51,29.23,4.05,0
1415.91,836.38,3.98,80.29,26.78,8.88,1
2662.18,1934.0,3.19,93.63,23.91,4.0,1
1361.7,424.23,8.85,48.23,29.91,3.91,0
773.83,240.26,11.59,52.01,38.39,2.05,0
526.32,209.53,10.58,39.48,25.32,1.58,0
1722.38,952.79,3.34,81.94,22.91,9.92,1
1136.6,265.72,6.05,58.84,26.96,2.89,0
1160.17,339.97,3.51,55.49,24.07,3.91,0
827.67,281.82,7.06,70.24,28.29,3.51,0
1105.88,549.23,6.75,54.61,31.33,2.38,0
1178.1,294.03,15.0,63.59,29.18,3.97,0
1608.32,1221.17,2.61,74.73,25.7,5.65,1
1116.72,457.53,5.5,55.99,27.97,3.48,0
1299.89,448.78,6.89,71.9,22.43,3.5,0
1033.71,258.33,4.62,44.91,18.15,2.53,0
2214.57,1642.04,1.54,83.0,29.74,9.39,1
2354.51,1271.14,3.17,83.14,23.23,10.47,1
1227.22,491.94,6.16,70.93,30.48,0.5,0
1157.61,278.95,5.87,61.44,28.82,2.49,0
798.04,354.36,6.61,75.69,29.1,4.27,0
2351.56,1611.17,4.76,79.79,24.03,9.64,1
2314.58,1791.22,2.72,71.19,28.36,11.0,1
463.44,136.58,8.78,61.19,34.03,3.64,0
2433.67,1331.9,,74.26,19.56,5.28,1
2671.9,2062.53,1.75,87.95,28.44,10.98,1
2220.91,1493.25,1.64,79.18,23.25,9.99,1
1195.93,563.61,10.78,67.54,29.96,4.7,0
1032.61,449.73,10.89,58.94,22.05,3.6,0
2100.91,1378.4,1.91,71.29,24.49,11.49,1
1174.79,512.22,8.09,77.17,25.05,2.13,0
2086.45,1440.83,1.87,74.33,27.81,14.01,1
761.09,343.54,7.03,48.05,42.9,4.67,0
1670.06,852.87,2.12,91.04,26.08,7.96,1
1204.3,321.89,12.63,62.04,18.86,4.09,0
919.81,300.48,8.26,78.46,32.63,2.49,0
1290.55,594.56,7.53,57.35,29.02,5.21,0
1751.28,795.41,7.81,62.22,29.88,3.39,0
3205.55,2267.44,4.2,89.31,28.9,8.14,1
1739.91,446.59,11.62,61.21,31.04,6.34,0
1600.71,531.14,10.09,42.98,30.9,2.1,0
2489.48,1735.58,2.39,79.36,23.15,6.54,1
1207.1,270.19,11.45,58.89,32.61,3.79,0
2061.04,1519.32,4.84,89.44,24.43,5.62,1
202.66,67.73,14.75,44.05,26.89,6.14,0
2203.69,1678.16,3.77,77.57,29.4,15.0,1
1117.98,467.77,7.38,53.64,22.1,2.24,0
918.81,263.4,11.63,60.85,30.72,0.88,0
1843.95,1449.78,4.67,74.08,24.26,8.61,1
2869.49,1776.07,1.79,92.11,30.31,11.13,1
1076.11,258.64,12.02,71.01,25.92,2.57,0
2695.12,2095.63,4.35,85.83,27.44,10.44,1
1024.54,231.47,7.04,61.05,38.77,4.71,0
1639.25,934.71,0.81,74.78,29.34,12.23,1
2074.53,1545.96,2.05,93.46,31.18,7.33,1
1706.24,1341.86,2.21,98.11,17.51,5.65,1
1033.04,325.18,6.0,64.4,24.39,3.6,0
1951.4,1434.22,2.3,97.64,25.43,10.11,1
1556.39,474.93,6.97,55.18,27.57,4.54,0
2109.46,1115.24,3.45,78.93,31.23,5.6,1
,306.09,8.77,60.94,27.0,4.95,0
2973.7,1676.81,2.25,80.8,17.64,7.47,1
970.51,293.38,4.19,59.62,25.12,2.86,0
3124.15,2497.34,2.88,92.94,22.73,11.53,1
1084.58,481.12,3.13,68.54,24.46,3.33,0
665.57,282.27,8.22,56.55,40.01,1.53,0
2218.17,1310.22,2.74,75.56,27.45,11.6,1
1197.22,491.06,6.4,51.62,25.68,5.08,0
1254.08,595.3,10.37,70.15,26.74,3.93,0
2204.1,1451.71,1.19,82.69,23.84,10.26,1
1690.4,1148.61,0.88,84.66,27.98,9.6,1
2574.34,1922.28,0.75,73.41,27.97,12.52,1
2742.72,2080.95,2.8,,27.81,4.37,1
2171.29,1531.1,1.14,90.05,28.75,4.0,1
1435.22,541.43,8.53,52.64,29.54,5.25,0
1992.56,1250.93,1.7,100.0,23.13,7.96,1
2876.2,1618.09,1.73,75.38,32.83,9.93,1
1198.35,285.41,4.86,80.0,29.89,4.35,0
2820.69,2248.36,3.93,71.76,21.12,8.18,1
766.56,255.89,7.82,60.97,26.38,2.03,0
828.71,212.99,4.2,44.01,28.61,1.09,0
2095.97,1055.4,5.85,86.36,26.42,10.99,1
857.12,223.75,8.84,50.74,27.35,3.21,0
,1347.96,2.08,75.21,27.56,9.35,1
1153.05,463.61,7.92,70.13,24.29,3.45,0
1007.14,259.13,9.5,72.97,31.42,1.98,0
1158.23,398.11,9.12,36.4,32.76,3.56,0
1886.5,1189.99,1.49,,28.02,10.59,1
1279.17,572.06,5.15,60.82,28.29,2.87,0
1022.79,409.88,5.74,60.21,26.52,3.22,0
1409.55,629.33,11.98,44.65,22.4,2.68,0
877.26,352.7,6.68,71.23,33.05,3.84,0
785.93,314.35,2.69,59.93,30.92,5.16,0
1301.77,380.47,11.01,52.27,31.41,1.98,0
2344.8,1674.74,5.92,99.15,32.06,5.08,1
2250.6,1423.79,2.23,92.91,28.08,13.1,1
1508.2,405.27,7.21,42.02,29.09,3.6,0
2138.82,1562.66,3.12,90.77,30.76,8.9,1
1726.51,827.51,5.88,76.64,28.55,4.33,0
2477.76,1818.45,0.75,87.68,30.83,10.48,1
1288.86,349.88,7.17,71.79,40.72,0.5,0
1387.01,501.23,5.66,57.63,27.72,2.57,0
1952.3,1372.16,3.83,100.0,31.3,5.8,1
2117.34,1526.46,2.38,93.62,29.69,9.94,1
2799.18,1632.25,0.2,82.42,28.18,8.63,1
818.2,258.65,9.18,64.3,27.97,4.22,0
1022.29,315.38,5.25,49.86,32.75,2.88,0
2430.47,1388.99,3.59,90.81,27.39,8.96,1
1909.3,1020.38,2.16,85.9,28.95,9.82,1
1131.31,409.22,7.88,49.27,23.22,1.36,0
1047.51,323.0,4.87,56.52,30.68,4.1,0
851.94,284.19,14.4,51.0,28.7,3.18,0
2618.11,1918.74,2.36,95.22,22.45,10.6,1
2411.39,1418.12,1.4,81.7,26.79,8.61,1
916.27,352.38,12.44,74.79,33.93,2.48,0
1222.58,382.62,7.38,54.61,28.15,2.98,0
2271.65,1622.71,3.42,85.6,28.0,8.68,1
2007.28,1157.54,2.64,94.09,33.97,10.25,1
1611.88,1119.19,2.13,95.4,36.24,8.01,1
2411.94,1518.32,2.13,76.67,25.98,10.83,1
1005.08,366.9,4.72,77.46,34.27,2.71,0
2269.77,1277.64,1.55,71.93,21.59,6.52,1
1202.53,498.04,7.89,69.45,33.23,4.71,0
1157.19,295.45,7.92,42.68,28.88,2.76,0
1429.84,932.94,1.46,71.89,31.67,6.13,1
1273.89,356.42,7.23,68.7,26.71,4.83,0
2302.29,1265.92,0.2,97.08,33.96,7.99,1
2278.04,1208.91,0.2,88.03,25.75,13.66,1
2204.8,1257.39,3.46,79.45,24.65,11.04,1
801.7,307.87,,54.8,26.88,3.6,0
1041.53,413.79,13.92,82.64,32.44,1.08,0
2268.02,1348.1,0.2,73.58,31.79,12.34,1
2070.76,1633.09,3.6,73.3,26.15,8.27,1
2623.85,1743.0,2.68,84.69,36.86,9.62,1
1233.38,315.92,8.27,53.4,36.86,1.67,0
811.99,361.68,11.21,61.28,26.52,3.12,0
512.1,210.72,7.01,73.14,26.42,1.51,0
2250.64,1738.41,2.92,76.44,26.04,9.47,1
1322.98,450.22,4.13,83.9,32.6,4.15,0
1174.82,427.17,10.28,52.48,28.92,1.49,0
2219.02,1189.67,2.04,,29.71,9.49,1
314.08,83.89,8.85,57.69,31.86,2.83,0
1369.12,319.52,6.36,81.8,30.74,3.62,0
837.31,203.11,7.16,52.46,33.12,2.78,0
2639.88,1537.96,0.97,91.37,23.47,10.27,1
904.99,238.59,13.79,56.42,22.56,3.63,0
1106.3,369.33,6.75,37.14,25.21,1.83,0
2665.0,1660.47,1.9,82.81,27.13,11.86,1
1109.84,489.05,9.82,33.37,41.1,3.03,0
1452.04,689.4,7.68,40.95,21.22,4.52,0
1483.3,666.92,7.11,72.85,29.65,1.86,0
3247.34,2482.92,1.65,89.67,24.21,9.93,1
1345.37,500.51,5.12,47.01,24.46,4.44,0
1322.63,541.55,6.73,49.13,30.73,4.49,0
1154.43,351.48,4.2,25.79,27.55,5.72,0
2619.65,1701.21,1.57,70.55,25.6,9.99,1
1295.7,562.05,9.1,57.55,37.95,3.19,0
2186.09,1114.84,0.3,100.0,27.7,9.86,1
1264.02,388.8,5.54,50.96,36.18,4.83,0
2297.06,1616.52,0.59,97.03,23.48,10.46,1
897.95,338.28,,77.06,31.74,3.14,0
2817.19,1568.3,0.74,80.19,21.52,8.1,1
1028.95,292.63,10.56,49.96,32.31,0.5,0
2208.7,1695.23,1.63,87.9,27.89,8.0,1
1495.28,728.66,3.94,65.85,35.06,6.42,0
2437.39,1925.73,3.46,72.96,27.01,6.46,1
2467.47,1578.64,4.88,84.35,34.81,10.77,1
2756.98,1821.79,2.42,82.39,23.94,8.81,1
2577.54,1519.88,3.32,88.9,25.76,6.43,1
1349.1,366.79,6.21,45.8,27.99,4.11,0
1408.75,478.16,8.58,59.39,33.55,4.09,0
756.1,214.39,11.3,61.5,34.68,3.35,0
2202.31,1293.67,3.92,80.8,27.36,8.18,1
1009.67,407.7,10.88,35.82,37.6,1.54,0
1386.59,523.7,8.94,,25.61,2.46,0
1201.28,338.44,9.61,35.7,32.87,3.12,0
689.94,211.61,11.59,41.3,29.38,3.38,0
768.99,177.03,6.13,60.51,37.55,3.86,0
862.27,281.04,12.32,44.8,28.26,4.52,0
2345.69,1640.55,2.67,73.84,23.29,7.11,1
1243.83,601.68,6.84,75.5,29.78,5.38,0
1774.02,1238.9,0.2,85.35,28.03,10.88,1
1603.31,679.38,4.78,29.43,36.26,3.5,0
1146.12,303.93,7.93,67.22,24.29,1.1,0
1025.31,392.98,7.73,66.18,26.72,3.47,0
,1955.53,1.51,83.04,29.86,9.18,1
1066.3,428.13,8.4,64.71,25.91,4.63,0
1223.83,283.04,7.72,52.21,25.25,2.39,0
1291.42,528.85,5.36,59.54,28.45,2.98,0
2776.1,1986.39,0.7,93.24,23.58,9.15,1
1479.11,735.12,8.22,56.98,37.32,2.47,0
1013.4,383.48,12.31,60.5,24.98,4.49,0
1112.18,508.61,11.22,53.05,27.64,1.6,0
411.15,146.39,6.79,44.34,25.44,3.09,0
992.89,246.89,4.48,85.0,34.56,3.18,0
2749.92,2071.92,3.79,84.68,22.84,11.88,1
1163.99,575.93,6.74,80.94,29.22,3.23,0
2357.76,1412.94,3.56,88.4,26.59,7.59,1
1003.8,480.34,5.9,38.8,28.93,3.0,0
964.94,381.64,9.97,50.42,31.7,4.13,0
1671.24,407.64,2.5,69.79,23.0,3.55,0
2427.34,1669.78,1.88,82.76,24.27,9.41,1
1395.3,676.45,13.73,51.62,23.45,1.52,0
834.0,213.91,3.38,50.34,28.99,4.91,0
1463.58,626.62,7.25,77.42,30.03,2.08,0
2501.14,1272.43,1.24,,29.44,6.93,1
1480.21,1212.62,3.14,89.95,21.89,5.89,1
800.49,358.1,5.26,51.81,38.39,4.19,0
963.34,304.88,10.57,42.01,32.15,4.19,0
1022.12,342.11,7.2,55.37,33.05,4.81,0
2155.78,1644.97,1.17,68.51,26.02,11.82,1
2202.65,1261.96,2.84,92.46,35.18,9.08,1
982.47,218.85,4.07,54.04,39.31,3.82,0
1209.49,392.1,8.74,71.57,21.11,1.01,0
1295.42,379.24,8.48,45.17,32.34,3.53,0
1876.51,1454.54,2.29,85.38,28.97,11.81,1
1218.0,414.32,12.49,62.86,28.99,3.82,0
2444.24,1854.17,3.99,81.59,25.71,7.34,1
2278.76,1251.45,3.66,96.87,32.47,11.95,1
2346.38,1848.75,0.2,98.14,29.29,8.85,1
2636.91,1886.26,3.0,90.23,24.03,8.83,1
2586.19,1557.25,3.56,90.8,31.18,6.76,1
2490.04,2022.88,2.2,81.12,26.03,9.88,1
700.63,166.29,8.5,60.79,36.93,3.51,0
1821.81,1483.44,3.81,79.13,27.23,4.01,1
2280.37,1192.64,2.53,93.26,25.79,9.07,1
2187.06,1389.68,4.61,95.48,29.22,12.69,1
703.86,200.93,9.82,65.6,30.47,2.83,0
934.33,339.27,7.78,70.21,34.72,2.34,0
2674.8,1741.9,2.28,89.21,29.25,14.21,1
1272.97,325.26,8.9,48.81,32.99,3.16,0
1296.97,428.01,6.46,44.79,25.42,4.74,0
1237.31,277.79,7.0,56.75,28.69,3.1,0
2383.5,1307.29,5.46,75.71,32.93,10.92,1
2788.93,1792.79,2.2,85.43,32.27,10.8,1
1381.49,655.64,11.95,70.21,37.79,3.92,0
2563.35,1681.31,2.86,84.93,37.08,11.19,1
1134.27,311.88,11.87,56.6,36.29,2.91,0
2509.8,1595.33,4.69,88.64,27.98,6.69,1
2110.55,1139.56,0.2,69.36,31.22,7.21,1
1982.72,1270.47,1.73,100.0,28.72,8.52,1
615.93,276.35,8.83,51.54,26.85,3.61,0
2331.54,1816.91,2.88,72.58,27.76,8.62,1
2627.42,1968.32,3.34,77.36,28.21,7.33,1
884.95,320.8,9.38,82.65,18.93,2.83,0
986.26,270.01,7.85,69.14,34.29,2.24,0
592.11,130.42,8.7,62.27,25.7,2.21,0
1665.38,571.35,10.53,74.28,34.91,4.54,0
1288.5,362.08,5.38,56.45,27.65,4.46,0
2137.67,1339.14,0.98,79.04,34.92,6.73,1
1278.07,373.2,8.6,60.6,35.02,4.11,0
1194.85,391.21,8.21,85.0,25.2,3.73,0
1546.45,784.9,3.99,69.26,24.47,9.89,1
2740.67,1728.41,3.46,92.78,25.83,7.13,1
,222.76,8.02,61.94,32.75,4.54,0
,405.33,12.19,43.19,30.77,4.23,0
2263.04,1333.16,1.08,81.15,31.54,13.17,1
2205.4,1400.4,3.89,99.76,21.38,8.37,1
1424.53,401.86,8.26,42.64,35.42,4.35,0
1120.8,372.9,9.52,78.81,28.76,2.67,0
934.64,439.4,10.58,57.61,31.46,2.36,0
1011.81,375.49,9.55,66.9,25.74,3.52,0
1573.76,368.41,4.89,52.98,26.18,2.25,0
1159.94,411.7,4.67,58.39,31.45,3.77,0
1666.22,950.26,1.38,84.56,25.4,6.66,1
1428.26,532.94,9.3,34.43,25.27,3.51,0
1315.46,411.29,8.0,49.1,29.6,2.67,0
997.19,455.1,8.73,65.85,28.37,5.51,0
799.51,212.67,,52.86,27.22,2.2,0
1157.15,463.2,11.11,41.0,28.14,1.94,0
2154.92,1589.75,2.77,88.8,23.54,8.79,1
1233.28,511.3,10.14,53.64,26.7,2.91,0
1989.49,1530.13,1.67,87.41,24.33,10.86,1
1242.91,550.59,,51.89,31.41,1.19,0
2314.67,1787.85,0.42,76.28,24.77,10.51,1
1461.95,423.96,7.61,65.94,35.56,4.78,0
3004.94,1636.58,2.76,99.33,21.19,8.62,1
2319.51,1839.26,1.97,99.93,25.08,15.0,1
1003.51,251.64,6.08,47.6,26.04,2.82,0
1458.97,406.39,5.39,51.99,30.25,2.19,0
1114.43,499.29,9.79,64.9,40.16,0.86,0
732.71,172.4,6.51,38.06,32.41,1.17,0
